station_m,total_pressure_kpa,hydraulic_pressure_kpa,mhd_pressure_kpa,curvature_pressure_kpa
3.713117837906e+00,1.361761035156e+01,4.080035464358e-02,1.354312155589e+01,3.368811320002e-02
3.732889890671e+00,1.375958691406e+01,4.101761323867e-02,1.368442544658e+01,3.414336202982e-02
3.752661705017e+00,1.390156152344e+01,4.123486921396e-02,1.382572762855e+01,3.459860537007e-02
3.772433519363e+00,1.404353613281e+01,4.145212518926e-02,1.396702981051e+01,3.505384871032e-02
3.792205333710e+00,1.418551074219e+01,4.166938116456e-02,1.410833201662e+01,3.550909205057e-02
3.811977148056e+00,1.432748535156e+01,4.188663713986e-02,1.424963424203e+01,3.596433539081e-02
3.831749200821e+00,1.446946191406e+01,4.210389573495e-02,1.439093814720e+01,3.641958422062e-02
3.851521015167e+00,1.461143652344e+01,4.232115171025e-02,1.453224032917e+01,3.687482756087e-02
3.871292829514e+00,1.475341113281e+01,4.253840768555e-02,1.467354249183e+01,3.733007090111e-02
3.891064643860e+00,1.489538574219e+01,4.275566366085e-02,1.481484463036e+01,3.778531424136e-02
3.910836458206e+00,1.503736035156e+01,4.297291963614e-02,1.495614681233e+01,3.824055758161e-02
3.930608510971e+00,1.517933691406e+01,4.319017823123e-02,1.509745072233e+01,3.869580641141e-02
3.950380325317e+00,1.532131152344e+01,4.340743420653e-02,1.523875292843e+01,3.915104975166e-02
3.970152139664e+00,1.546328710938e+01,4.362469018183e-02,1.538005512971e+01,3.960629309191e-02
3.989923954010e+00,1.560526171875e+01,4.384194615713e-02,1.552135728754e+01,4.006153643216e-02
4.009696006775e+00,1.574723730469e+01,4.405920475221e-02,1.566266115410e+01,4.051678526196e-02
4.029467582703e+00,1.588920996094e+01,4.427645810773e-02,1.580396163217e+01,4.097202311265e-02
4.049239635468e+00,1.603118652344e+01,4.449371670281e-02,1.594526551803e+01,4.142727194245e-02
4.069011688232e+00,1.617316308594e+01,4.471097529789e-02,1.608656940872e+01,4.188252077226e-02
4.088783264160e+00,1.631513574219e+01,4.492822865341e-02,1.622786988680e+01,4.233775862295e-02
4.108555316925e+00,1.645711328125e+01,4.514548724849e-02,1.636917379197e+01,4.279300745275e-02
4.128326892853e+00,1.659908593750e+01,4.536274060401e-02,1.651047428935e+01,4.324824530345e-02
4.148098945618e+00,1.674106250000e+01,4.557999919909e-02,1.665177817039e+01,4.370349413325e-02
4.167870998383e+00,1.688303906250e+01,4.579725779417e-02,1.679308207556e+01,4.415874296305e-02
4.187642574310e+00,1.702501171875e+01,4.601451114969e-02,1.693438257294e+01,4.461398081374e-02
4.207414627075e+00,1.716698828125e+01,4.623176974477e-02,1.707568647812e+01,4.506922964355e-02
4.227186203003e+00,1.730896093750e+01,4.644902310029e-02,1.721698698033e+01,4.552446749424e-02
4.246958255768e+00,1.745093750000e+01,4.666628169537e-02,1.735829087102e+01,4.597971632404e-02
4.266730308533e+00,1.759291406250e+01,4.688354029045e-02,1.749959475688e+01,4.643496515385e-02
4.286501884460e+00,1.773488671875e+01,4.710079364597e-02,1.764089523495e+01,4.689020300454e-02
4.306273937225e+00,1.787686328125e+01,4.731805224105e-02,1.778219914495e+01,4.734545183434e-02
4.326045513153e+00,1.801883593750e+01,4.753530559657e-02,1.792349962303e+01,4.780068968503e-02
4.345817565918e+00,1.816081250000e+01,4.775256419165e-02,1.806480350889e+01,4.825593851484e-02
4.365589618683e+00,1.830278906250e+01,4.796982278673e-02,1.820610741406e+01,4.871118734464e-02
4.385361194611e+00,1.844476171875e+01,4.818707614225e-02,1.834740786800e+01,4.916642519533e-02
4.405133247375e+00,1.858673828125e+01,4.840433473733e-02,1.848871173456e+01,4.962167402514e-02
4.424904823303e+00,1.872871093750e+01,4.862158809285e-02,1.863001221263e+01,5.007691187583e-02
4.444676876068e+00,1.887068750000e+01,4.883884668793e-02,1.877131609850e+01,5.053216070563e-02
4.464448928833e+00,1.901266406250e+01,4.905610528301e-02,1.891261998436e+01,5.098740953543e-02
4.484220504761e+00,1.915463671875e+01,4.927335863853e-02,1.905392046243e+01,5.144264738613e-02
4.503992557526e+00,1.929661328125e+01,4.949061723361e-02,1.919522435312e+01,5.189789621593e-02
4.523764133453e+00,1.943858593750e+01,4.970787058913e-02,1.933652483603e+01,5.235313406662e-02
