station_m,b_perp_t,hartmann,pressure_drop_pa,total_pressure_gradient_pa_per_m
6.059770894515e+00,2.460156939924e-02,6.184738645119e+01,2.641008979376e+04,4.445778524280e+01
6.091461035360e+00,1.706004515290e-02,4.288828847964e+01,2.641122336196e+04,2.708296342416e+01
6.123151176205e+00,1.008315756917e-02,2.534866506720e+01,2.641191568831e+04,1.661052182895e+01
6.154841317050e+00,3.651731414720e-03,9.180310424796e+00,2.641236467617e+04,1.172560051851e+01
6.186531457895e+00,2.255634870380e-03,5.670578134967e+00,2.641272903559e+04,1.126952739129e+01
6.218221598740e+00,7.661926094443e-03,1.926178352419e+01,2.641313314965e+04,1.423455981259e+01
6.249911739585e+00,1.259125582874e-02,3.165392632105e+01,2.641367172317e+04,1.975541384889e+01
6.281601880430e+00,1.706844940782e-02,4.290941644887e+01,2.641441413189e+04,2.709882482277e+01
6.313292021276e+00,2.111868374050e-02,5.309154767498e+01,2.641540842155e+04,3.565190095002e+01
6.344982162121e+00,2.476712688804e-02,6.226359152427e+01,2.641668492693e+04,4.490977190606e+01
6.376672302966e+00,2.803875878453e-02,7.048834657729e+01,2.641825950308e+04,5.446347842592e+01
6.408362443811e+00,3.095809742808e-02,7.782745012550e+01,2.642013637347e+04,6.398789708700e+01
6.440052584656e+00,3.354903310537e-02,8.434096141834e+01,2.642231060701e+04,7.323039766142e+01
6.471742725501e+00,3.583468869328e-02,9.008701046692e+01,2.642477024795e+04,8.200027487800e+01
6.503432866346e+00,3.783732652664e-02,9.512156391314e+01,2.642749812611e+04,9.015914645913e+01
6.535123007191e+00,3.957823663950e-02,9.949814407270e+01,2.643047337510e+04,9.761212304464e+01
6.566813148036e+00,4.107772186399e-02,1.032677914741e+02,2.643367269069e+04,1.043002387624e+02
6.598503288881e+00,4.235503450036e-02,1.064789056498e+02,2.643707135978e+04,1.101935439462e+02
6.630193429726e+00,4.342838004231e-02,1.091772545011e+02,2.644064408802e+04,1.152853050263e+02
6.661883570571e+00,4.431489855051e-02,1.114059274724e+02,2.644436565422e+04,1.195868730628e+02
6.693573711416e+00,4.503069445491e-02,1.132054104729e+02,2.644821141695e+04,1.231234855509e+02
6.725263852261e+00,4.559082537889e-02,1.146135577808e+02,2.645215769503e+04,1.259305088856e+02
6.756953993107e+00,4.600936919451e-02,1.156657606175e+02,2.645618204420e+04,1.280506387162e+02
6.788644133952e+00,4.629943147302e-02,1.163949658785e+02,2.646026344836e+04,1.295313128642e+02
6.820334274797e+00,4.647319391370e-02,1.168317978808e+02,2.646438243912e+04,1.304227708634e+02
